text,classe
@dudu_aoliveira tendenciosa pra dar entender sobre incoerencias politicas partidarias messias tanto prega lula lembrou politica disputa cordial acordos cordiais ,0
@lulaoficial achei ia mostrar errado relacao voto certeza ainda devo votar obrigado lula mostrar pra mim vez devo votar bolsonaro 22 ,0
simplesmente nossls clientes baise assistir lula ,0
melhor noite lula justificar mensalao dizendo mensalao 2 0 orcamento secreto bolsonaro pior pqp asno cair conversa desses dois picaretas ,1
@lulaoficial gabaritou repatriou conquistou indecisos ctz #lulanojn #vote13 #lula #lulapresidente13 #lulano1oturno ,0
@sf_moro entao motivo pra votar lula kkkkkk ,0
lulopetista dizendo lula genial questionar genialidade pq visto nada sabatina resultado bloqueado ,0
@flaviobolsonaro lula presidente ,0
@jrubysgirl inegavel lula fez passado destruido governos seguintes implementar ideias fato trariam avanco pra algo pais ideal papo batido ir porta favela perguntar populacao precisa pq q obvio ,0
vou apertar 13 tao forte quero lula vai sentir la cu ,0
@gioewbank @lulaoficial presidente lula presidente brasil jamais novamente ladrao cadeia artistas loucos rouanet ,1
bora lulinhaaaaaaa #lula ,0
lula assuntos comentados twitter https t co/fqxidoih43 ,0
descobri q gerente favorito trampo gosta lula devastada ,0
@gioewbank @lulaoficial celular roubado algum jovem lembrando opcao fala lula quer bater mulher va bater outro lugar ,1
@mariadorosario emocionei fala maria rosario chega sofrimento lula presidente 13 ,0
paranaense vou votar lula 13 https t co/6h3cza7yqr ,0
lula la 13 ,0
@keiti_hudson @katydailybrasil naooo witness lulas version ,0
sobre falas papai lula achei pertinentes falou pouco cada area negou erros disse q vai melhor interessante pq adentrou assuntos mto polemicos quebra jantou vcs sabe sabemos q melhor 13 ,0
@uol bom papo apenas rombo petrobras custou 900 bilhoes pt daria fazer 60 transposicoes rio francisco eleitor lula pt insulta ofende humilha debocha povo nordes ,0
@esquerdeando lula lider verdade #lulapresidente13 #lulano1oturno #brasildaesperanca ,0
deus ceu agora vou digitar 13 forca urna 13 lula presidente ,0
empresarios banidos redes / vitoria bolsonaro contra lula / morae https t co/romv6gkmzv via @youtube ,0
please help support lula 13 add #twibbon now https t co/q8udeljtcu ,0
@sf_moro honra votar pessoa honrada brasil lula 13 primeiro turno ,0
@andrefran lula gigante esperanca brasil ,0
@tonemaimd lula ganhar mesma faco caipirinha ai casa ,0
eai cade resumo lula jn mesa ,0
lula criou coaf mentira ladrao mentiroso vergonha ,1
bonner globo tavam parecendo fato moro perguntando lula sobre governo dilma kkkkkkkkkkkk ,0
@gustavo_lima010 @lulaoficial serio kkkkk calotes cuba venezuela emprestimo feito lula paises mostra ai prestacoes pagas ai sim aceito teoria pode @nikolas_dm ,1
lula debutou ainda trouxe selisa pra obrigado papi #lulanojn https t co/wdjywsrte7 ,0
desempenho lula jn sob lente campanha bolsonaro bem | bela megale | globo https t co/7bihsjpqmv ,0
@vasconhector @zattarrafael eleitora lula minimo brio repenssaria voto declaracao hj brigava frente cameras saiam pra tomar $$ adversarios enquanto militancia tonta debatia ,0
vez vou nesse video escalada jn sobre posse lula 2003 pra chorar emocionada ansiosa proxima escalada onde bonner falara novamente festa popular celebracao democracia brasileira #lulanojn @lulaoficial https t co/i6gm7vkgbv ,0
@mrfarenheithi @raquel_windsor @uolnoticias mensalao escandalo compra votos ameacou derrubar governo lula silva 2005 orcamento vetado presidente derrubado voto minerva pt mesmos contra marco zero saneamento https t co/gz73sakszx ,0
vou ficar tao chata anunciar lula presidente https t co/a5z2pmnnwz ,0
#lulanojn vez gente precisa lado divergentes vencer antagonicos citando paulo freire agora gente precisa juntos vencer ultradireita fascismo lula lacrou #lulapresidente13 ,0
@rizethj segue tv audiencia faz comparacao segue sabe quinta diante share tv cai entao lula bem ,0
segundo datafolha condominio vai dar lula babado https t co/0tk1p93gq6 ,0
@natbonavides cara obsessao queria lula pode ,0
agronegocio facista lula 25/08/2022 lembre disso faltar alimentos #lulaladrao ,1
baaaaafo opiniao #bolsonaro #jairbolsonaro #jairmessiasbolsonaro #lula #politica #williambonner #renatavasconcellos #pl #pt #pdt #famosos #jn #jornalnacional #cirogomes https t co/ulfvtv4hah ,0
queria comer churrasquinho lula reffsa https t co/4wt6nldeik ,0
@geraldoalckmin @felipeneto lula perfeito entrevista precisou mentir fugiu perguntas reconheceu erros mostrou acertos falou passado presente futuro oportunidade assistir jn indeciso... certamente agora duvidas lula 13 povo sabe ,0
lula justificando corrupcao governo acinte contra nacao #globolixo ,1
agronegocio fascista direitista lula 2022 cara senso ridiculo bandido ,1
luiz inacio lula silva fique sabendo acabei mudar voto esquece to fechadao 9 dedos https t co/zxw5g4y06o ,0
pai tirano foto dando dedo meio pro lula tv parece exol bts la primordios ,0
bolsonaro falando 40 minutos pareceram 2 horas tortura tantas mentiras falta argumentos lula falando pareceu 10 minutos poderia ficar 40 minutos ouvindo diferenca grande #lulanojn ,0
lula afirmou lava jato causou prejuizos financeiros economia brasileira brasil quebrou industria engenharia levamos quase seculo construir afirmou ex presidente afirmando investigacoes corrupcao preservado https t co/jeq5jpkxih ,0
bicha lula voltar... ,0
@naronarinha @jakbolsonaro lula fugiu perguntas admitiu devolveram 6 bilhoes adimitiu interferia pf jura santo #luladrao ,1
 homi homi protecao divina entrevista lula jn euforia toma conta pais show lula https t co/1m3vdif7wp ,0
@caetanoveloso @lulaoficial @marcelofreixo lula presidente ,0
gente caetano veloso chorou reinaldo azevedo viu exibicao gala leilane neubarth exaltou respeito lula mulheres pessoa renata viva luiz inacio lula silva ,0
antes 100% lula partir hoje 1029299392929% lula #lula2022 ,0
@itatiaia @lpava lula deu show entrevista globo vai primeiro turno sim ,0
@vessoniandrea @brunogagliasso lula 2022 ,0
@marcosthadeuv @gen_heleno agora grita junto povo gritar pega ladrao lula fica irmao kkkkkkkkkk ,0
@uolnoticias pq luladrao perguntado sobre denuncias marcos valerio uniao pt pcc ,0
