text,classe
mao bolsonaro cheia cola entrevista kkkkkkk vai toma cu vei ,0
uau bolsonaro parabens vc deu 600 reais auxilio parabens fazer minimo populacao ,0
 dificuldade escolher bom ministro educacao dificuldade nenhum educador preze vai andar bolsonaro ,0
ei bolsonaro centrao existe desde constituinte 1987 vem dizer tempo zero historia zero geografia zero matematica #jornalnacional ,0
vergonha nessa cara bonner sorrisinho canto boca parecendo rapariga ruim gracas deus bolsonaro responde tudo maior tranquilidade tramontina cortando #bonnercaraderapariga #bolsonaroreeleitoem2022 ,1
capitao patria envelheceu ficou assim kkkkk #bolsonaronojn #jornalnacional #bolsonaro #bonner https t co/uofwyezaip ,0
cada vez bolsonaro comeca macetar coisinhas mudam assunto hahahahahahaha ,0
acabei ver tt cara flnd q bolsonaro ta botando pra fuder... deus horas queria analfabeto ,1
nunca vi pessoa pra destorce tanto coisas igual bolsonaro pqp cara ridiculo ,0
bolsonaro corre perguntas diabo corre cruz #eleicoes2022 ,0
bolsonaro feio viu ,1
ta ai sabia olho bolsonaro azul ,0
renata pegou contrataque maravilhoso agora saida bola bolsonaro pqp kkkkkkkkkkkkkkkkkkk falando ministros educacao ,0
bolsonaro ta prova subjetiva sei resposta enrola fala nada nada informacoes vozes vindas alem ,0
sei odeia bolsonaro bonner ,0
bolsonaro faz questao ouvir desconsiderar completamente presenca renata vasconcellos completo machista #jornalnacional #bolsonaromentiroso ,0
bolsonaro sorry brincadeirinha ,0
bolsonaro foge todas perguntas porra 2018 existia centrao temer centrao deussssssss ,0
 ta estimulando ditador ta la bolsonaro lendo constituicao sob foto ulysses guimaraes parede william bonner chega facao dizendo vira ditador porra bora ,0
to curtindo todos tweets falando mal bolsonaro to vendo entrevista porque nessa casa pobre televisao ,0
renata bolsonaro dificuldade escolher bom ministro educacao #bolsonaronojn ,0
ba bolsonaro passa kkkkkk ,0
 tempo centrao oiiii bolsonaro passando vergonha ,0
@kimpaim bolsonaro respondendo bonner qdo falou centrao incentivando ditador bolso tramontina ,0
bolsonaro sorte eleitores assistem globo porque entrevista ta sendo deprimente pra #jn ,0
@djcarlao_ deveria continuar julgado conforme lei preve hoje solto mensalao quero lula foda tanto quanto gostaria bolsonaro ,0
@wtfislala ib larica bolsonaro habladora vdds ,0
vontade bolsonaro descer porrada boner base taca pal neles presidente @jairbolsonaro ,1
bolsonaro foge perguntas ,0
repare palma mao bolsonaro colinha prova jn #bolsonaronojn https t co/qbkteyuwz9 ,0
porra imagina falar corrupcao governo bolsonaro sendo idiota acreditar ,0
bolsonaro rei humor ,0
vai descer nunca pessoa votou bolsonaro nuncaaaa ,0
@beluzziapi bolsonaro n fala nada nada kkkkkkkkk ,0
uparem entrevista bolsonaro xvideos avisem ,0
bolsonaro burro igual porta ,1
bolsonaro merda ,1
cade gados bolsonaro postando q entrevista ta sendo manipulada ,0
governo corrupcao bolsonaro certeza ,0
bolsonaro dizendo q vivemos pais corrupcao https t co/i4ppdbuk0j ,0
tao engolindo bolsonaro vivo kkkkkkkkkkkkkkkkkk veio mentiroso desgraca ,1
bolsonaro ta parecendo mae enche perguntas sei responder nenhuma ,0
papacito bonner dando show senso bolsonaro https t co/lg7hod4ebp ,0
@jornalnacional papel renata interromper falas #bolsonaro #globolixo ,0
vendo bolsonaro pagar vergonha vivo ,0
pra q assistir bolsonaro pode assistir barbie ,0
serio bolsonaro fala nada nada ,0
consigo acostumar feiura bolsonaro ,1
bolsonaro deixa puta ouvir falar ,0
bolsonaro jornal nacional ta marcando inicio inferno casa ,0
metam murro bolsonaro ,1
umas opinioes aqui sobre entrevista bolsonaro globo medo expor porque medo levar tiro ,0
bolsonaro acabou falar governo corrupcao mkkmmmmmkkkkkkkkkkkkkkkkkkkkkkkk ah vou matar homem nocao ,0
bolsonaro pegue banquinho saia fininho ,0
apoia bolsonaro pq dinheiro ,0
 bonner vc ta estimulando ditador bolsonaro vagabundo #tchutchucadocentrao ,1
 obrigando ditador jair bolsonaro tchutchuca centrao ,1
#bolsonaro #lula mesma coisa enxergar extremistas alienados simples ,0
achei ultima pergunta meio nexo bolsonaro centrao nunca vai posicao bem clara ,0
entrevista candidato bolsonaro prometia nada entregou tudo ,0
ado ado ado alguem mata bolsonaro ,1
ta dando pra sentir cheiro odio veneno bonner renata aqui casa aceita vai ter bolsonaro 2026 queridos ,0
@drviniciussp mau carater q ta comecar bolsonaro q engolido pq pessimo ,0
dificuldade escolher bom ministro bolsonaro ,0
vou votar bolsonaro vou votar lula jeito nenhum pagando esqueco tudo fez todos esquemas corrupcao tudo deixou fazer seguranca brasil lula tava merda ,0
@adadlelia bolsonaro reeleito primeiro turno #globolixo ,0
unica pessoa q mente q bolsonaro ,0
olha lixos interrompendo novo presidente bolsonaro #globolixo ,1
bolsonaro pra politico mentiroso serve pq sabe minimo comunicacao persuasiva ,0
@gabsbsbz crente q apoia bolsonaro ,0
 bolsonaro estimulando ditador bonner candidato sendo eloso bolsonaro sim melhor parte agora #bolsonaronojn ,0
ouvindo bolsonaro falando merda mentindo cara dura https t co/uuyfffxgf1 ,0
bonner estimulando bolsonaro ditados kakakakakakakak #jornalnacional,0
